Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
134640;INF200KA1DI7;INF200KA1DJ5;SBI Equity Savings Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW);17.9981;30-Aug-2022
134644;INF200KA1DA4;-;SBI Equity Savings Fund - Regular Plan - Growth;17.4981;30-Aug-2022
134639;INF200KA1DB2;INF200KA1DC0;SBI Equity Savings Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);16.2223;30-Aug-2022
134642;INF200KA1DD8;INF200KA1DE6;SBI Equity Savings Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW);16.5463;30-Aug-2022
149677;INF173K01HC6;INF173K01HD4;Sundaram Equity Savings Fund (Formerly Known as  Principal Equity Savings Fund) - Direct Plan - Income Distribution CUM Capital Withdrawal Option - Half Yearly;14.5927;30-Aug-2022
149679;INF173K01GZ9;-;Sundaram Equity Savings Fund (Formerly Known as Principal Equity Savings Fund) - Direct Plan - Growth Option;57.0911;30-Aug-2022
149674;INF173K01213;-;Sundaram Equity Savings Fund (Formerly Known as Principal Equity Savings Fund) - Growth Option;51.5708;30-Aug-2022
149676;INF173K01262;INF173K01270;Sundaram Equity Savings Fund (Formerly Known as Principal Equity Savings Fund) -Quarterly Income Distribution CUM Capital Withdrawal;15.3606;30-Aug-2022
149678;INF173K01HF9;INF173K01HG7;Sundaram Equity Savings Fund (Formerly Known as Principal Equity Savings Fund)- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Quarterly;21.2715;30-Aug-2022
149675;INF173K01247;INF173K01254;Sundaram Equity Savings Fund (Formerly Known as Principal Equity Savings Fund)- Half Yearly Income Distribution CUM Capital Withdrawal;14.2658;30-Aug-2022
101906;INF277K01907;-;Tata Equity Savings Fund -Regular Plan-Growth Option;41.6508;29-Aug-2022
119960;INF277K01QH5;-;Tata Equity Savings Fund- Direct Plan- Growth Option;45.9747;29-Aug-2022
